hip,ra,dec,mag,spect,ci,con,var_min,var_max
2551,0.540592,-32.056759,8.11,K0III,0.958,Scl,,
2553,0.540777,43.494794,6.69,A1Vn,-0.006,And,,
2552,0.541063,67.235669,10.27,M2.5Ve,1.52,Cas,10.434,10.204
2554,0.540966,-38.277668,8.97,K3III,1.314,Scl,,
2555,0.541121,-60.672845,9.11,K0III,1.092,Tuc,,
2556,0.541278,-68.007475,9.36,K2V,0.928,Tuc,,
2557,0.541668,51.728256,6.94,K0,1.101,Cas,,
2558,0.541847,-44.065965,8.91,G8V,0.905,Phe,,
2559,0.54203,10.486611,8.38,A5,0.352,Psc,,
2560,0.542199,18.794882,6.79,K5,1.54,Psc,,
2561,0.542644,-28.749872,8.49,K1IV,1.107,Scl,,
2562,0.542688,55.214735,8.4,Ap...,0.097,Cas,,
2563,0.54279,28.197632,8.66,G5,0.65,And,,
2564,0.542878,51.103703,8.29,A2,0.284,Cas,,
2565,0.542935,27.580759,6.68,A2IV,0.084,And,,
2566,0.543082,-6.207038,9.26,F2,0.45,Cet,,
2567,0.543085,-18.109124,8.09,G6IV/V,0.749,Cet,,
2568,0.543189,20.294316,5.38,K0III,1.069,Psc,,
2569,0.543573,-9.034074,9.27,F5,0.504,Cet,,
2570,0.543579,-27.982721,9.24,G5/G6III/IV,0.983,Scl,,
2571,0.543958,-14.900603,9.55,K7,1.272,Cet,,
2572,0.544274,-25.359714,6.72,K0/K1III,1.176,Scl,,
2573,0.544317,23.193427,6.84,G8III-IV,0.921,And,,
2574,0.544713,-35.425044,8.9,G5V,0.735,Scl,,
2576,0.545334,38.843771,6.9,F0,0.364,And,,
2575,0.545434,78.111541,8.88,G5+...,0.679,Cep,,
2577,0.545445,24.733764,9.25,K5,1.337,And,,
2578,0.545512,-63.0315,5.07,A0V,0.038,Tuc,,
2579,0.545579,-13.487074,8.5,Ap...,0.047,Cet,,
2580,0.545787,-39.325987,8.51,G3/G5II,0.623,Phe,,
2581,0.546528,54.119948,6.91,K2III,1.249,Cas,,
2582,0.546742,68.142947,9.76,B8,0.244,Cas,,
2583,0.546969,28.280241,6.26,G8II,0.965,And,,
2584,0.546974,-22.095122,9.63,A9/F0V,0.399,Cet,9.699,9.589
2585,0.547096,-0.44568,8.7,K0,0.997,Cet,,
2586,0.54725,-13.257645,8.76,G5V,0.666,Cet,,
2587,0.547726,35.857952,7.94,A0,-0.017,And,,
2588,0.547986,-34.170087,8.94,F0V,0.366,Scl,,
2589,0.548112,-22.693433,10.71,F7/F8V:,0.444,Cet,10.779,10.639
2590,0.548125,11.773038,9.04,K0,1.129,Psc,,
2591,0.548162,57.184875,8.22,A2,0.211,Cas,,
2592,0.548214,-68.161258,8.61,K0III,1.024,Tuc,,
2593,0.548274,29.610983,8.23,F2,0.445,And,,
2594,0.548353,8.27981,9.89,K0,0.895,Psc,,
2595,0.548839,16.167235,6.9,F6III,0.508,Psc,,
2596,0.5497,48.658277,11.65,M8,1.228,Cas,11.788,11.398
2597,0.549814,18.395164,7.58,F2,0.384,Psc,,
2599,0.549997,62.931783,4.17,B1Ia,0.13,Cas,4.21,4.14
2598,0.549995,-23.491683,10.08,F6/F7V,0.548,Cet,,
